rank,company,symbol,ytd_return
431,ON Semiconductor,ON,-16.10
432,AvalonBay Communities,AVB,-16.13
433,Intuitive Surgical,ISRG,-16.22
434,Skyworks Solutions,SWKS,-16.44
435,Ingersoll Rand,IR,-16.48
436,Occidental Petroleum,OXY,-16.55
437,Carrier Global,CARR,-16.88
438,"UDR, Inc.",UDR,-17.06
439,Church & Dwight,CHD,-17.16
440,Targa Resources,TRGP,-17.28
441,Fidelity National Information Services,FIS,-17.52
442,Kraft Heinz,KHC,-17.74
443,Molson Coors Beverage Company,TAP,-17.85
444,West Pharmaceutical Services,WST,-18.01
445,PG&E Corporation,PCG,-18.01
446,Corpay,CPAY,-18.41
447,LKQ Corporation,LKQ,-18.43
448,Viatris,VTRS,-18.59
449,Fair Isaac,FICO,-18.60
450,Becton Dickinson,BDX,-18.62
451,KKR,KKR,-18.73
452,Regeneron Pharmaceuticals,REGN,-19.38
453,Halliburton,HAL,-19.99
454,Baxter International,BAX,-20.52
455,IDEX Corporation,IEX,-21.31
456,Comcast,CMCSA,-21.60
457,Cooper Companies (The),COO,-21.71
458,Old Dominion,ODFL,-21.76
459,Alexandria Real Estate Equities,ARE,-22.12
460,PayPal,PYPL,-22.18
461,Smurfit WestRock,SW,-22.48
462,Bristol Myers Squibb,BMY,-23.15
463,Akamai Technologies,AKAM,-23.31
464,Global Payments,GPN,-23.79
465,Copart,CPRT,-23.80
466,Hormel Foods,HRL,-23.96
467,Zebra Technologies,ZBRA,-24.07
468,Apollo Global Management,APO,-24.53
469,Adobe Inc.,ADBE,-24.66
470,Brown–Forman,BF.B,-24.97
471,General Mills,GIS,-25.00
472,Erie Indemnity,ERIE,-25.27
473,Charter Communications,CHTR,-25.31
474,Salesforce,CRM,-25.54
475,International Flavors & Fragrances,IFF,-25.88
476,Campbell Soup Company,CPB,-26.97
477,Clorox,CLX,-27.44
478,Edison International,EIX,-28.67
479,UnitedHealth Group,UNH,-29.18
480,Chipotle Mexican Grill,CMG,-30.55
481,Kenvue,KVUE,-31.26
482,Moderna,MRNA,-31.84
483,ONEOK,OKE,-32.10
484,United Parcel Service,UPS,-32.49
485,Accenture,ACN,-32.78
486,Target Corporation,TGT,-33.39
487,Conagra Brands,CAG,-33.86
488,Eastman Chemical Company,EMN,-33.95
489,Molina Healthcare,MOH,-34.54
490,GoDaddy,GDDY,-34.89
491,Constellation Brands,STZ,-36.51
492,Align Technology,ALGN,-36.94
493,LyondellBasell,LYB,-38.12
494,EPAM Systems,EPAM,-38.89
495,Centene Corporation,CNC,-40.25
496,FactSet,FDS,-41.75
497,Fiserv,FI,-41.83
498,Dow Inc.,DOW,-45.39
499,CarMax,KMX,-46.95
500,Gartner,IT,-51.08
501,Deckers Brands,DECK,-51.45
502,"The Trade Desk, Inc.",TTD,-57.03
503,Lululemon Athletica,LULU,-57.08
